COD_DISTRI,NOM_DISTRI,DIRECCION,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,ZONA,NMT_25,COMPLEMENT,Capital_Pr,Latitud,Longitud
11D08,SARAGURO,CALLE AZUAY Y LUIS FELIPE ORTEGA,111150,SARAGURO,1111,SARAGURO,11,LOJA,7,OT,MINEDUC,,-3.62245479475,-79.2362645258
11D09,ZAPOTILLO,BARRIO AMAZONAS VIA QUE CONDUCE AL HOSPITAL DE LA CIUDAD,111350,ZAPOTILLO,1113,ZAPOTILLO,11,LOJA,7,DE,MINEDUC,,-4.38346905614,-80.2423675263
04D01,TULCAN - SAN PEDRO DE HUACA,BARRIO CENTRAL 10 DE AGOSTO Y COLON ESQUINA,40150,TULCAN,401,TULCAN,4,CARCHI,1,DP,MINEDUC,SI,0.81154315014,-77.7171242574
04D02,MONTUFAR - BOLIVAR,BARRIO SANTA ROSA CALLE MANUEL J BASTIDAS FRENTE AL COLEGIO JORGE,40550,SAN GABRIEL,405,MONTUFAR,4,CARCHI,1,DE,MINEDUC,,0.59898433268,-77.8231529735
04D03,MIRA - ESPEJO,AV LEON RUALES 10 081 Y Y CALLE ULPIANO PALACIOS,40450,MIRA (CHONTAHUASI),404,MIRA,4,CARCHI,1,DE,MINEDUC,,0.5504026627,-78.0387071459
08D01,ESMERALDAS,CALLE SUCRE ENTRE JUAN MONTALVO Y ROCAFUERTE,80150,ESMERALDAS,801,ESMERALDAS,8,ESMERALDAS,1,DP,ZONA DEPORTE,SI,0.96832586162,-79.653285248
08D02,ELOY ALFARO,CALLE ARTESANAL Y NUEVA ESPERANZA DIAGONAL A LA SUBESTACION CNEL UNIDAD EDUCATIVA BORBON,80253,BORBON,802,ELOY ALFARO,8,ESMERALDAS,1,OT,MINEDUC,,1.09125074439,-78.9884238777
08D03,ATACAMES - MUISNE,VIA PRINCIPAL SUA COLEGIO ATACAMES,80650,ATACAMES,806,ATACAMES,8,ESMERALDAS,1,DE,MINEDUC,,0.86688718004,-79.8554597298
08D04,QUININDE,VIA SANTO DOMINGO KM1 BARRIO TELEMBI,80450,ROSA ZARATE (QUININDE),804,QUININDE,8,ESMERALDAS,1,DE,MINEDUC,,0.315928685,-79.4689829131
08D05,SAN LORENZO,CALLE ROBERTO LUIS CERVANTES Y 22 DE MARZO,80550,SAN LORENZO,805,SAN LORENZO,8,ESMERALDAS,1,DE,MINEDUC,,1.28367315128,-78.8317474545
08D06,RIO VERDE,COLEGIO BACHILLERATO RIO VERDE BARRIO LOS ALMENDROS CALLE PRINCIPAL FRENTE AL COMPLEJO DE ALTO RENDIMIENTO,80750,RIOVERDE,807,RIOVERDE,8,ESMERALDAS,1,DE,MINEDUC,,1.0714250366,-79.4096276764
10D01,IBARRA - PIMAMPIRO - URCUQUI,LUIS JARAMILLO PEREZ 4 133 Y BARTOLOME DE LAS CASAS BARRIO PILANQUI 2DA ETAPA,100150,SAN MIGUEL DE IBARRA,1001,IBARRA,10,IMBABURA,1,DP,SENECYT,SI,0.34353683261,-78.1307160344
10D02,OTAVALO - ANTONIO ANTE,JUAN DE ALBARRACIN Y PANAMERICANA NORTE,100450,OTAVALO,1004,OTAVALO,10,IMBABURA,1,OT,MINEDUC,,0.22432367452,-78.2637174897
10D03,COTACACHI,BOLIVAR 1945 QUIROGA U E LUIS ULPIANO DE LA TORRE,100350,COTACACHI,1003,COTACACHI,10,IMBABURA,1,DE,MINEDUC,,0.3023943372,-78.2623539706
21D01,CASCALES - GONZALO PIZARRO - SUCUMBIOS,NAPO Y GARCIA MORENO,210650,EL DORADO DE CASCALES,2106,CASCALES,21,SUCUMBIOS,1,DE,MINEDUC,,0.07634715893,-77.2136291596
21D02,LAGO AGRIO,VIA QUITO KM 4 1 2 ENTRADA A LA OCP,210150,NUEVA LOJA,2101,LAGO AGRIO,21,SUCUMBIOS,1,DP,MINEDUC,SI,0.08509742454,-76.8940161908
21D03,CUYABENO - PUTUMAYO,AV PABLO RUBEN CEVALLOS Y EDGAR ZAMBRANO DIAGONAL AL MUNICIPIO DE CUYABENO BARRIO LAS COLINAS,210750,TARAPOA,2107,CUYABENO,21,SUCUMBIOS,1,DE,MINEDUC,,-0.12634713283,-76.3402625596
21D04,SHUSHUFINDI,BRASIL Y SHUARAS BARRIO EL CISNE TRAS LA ESCUELA FRANCISCO JAVIER PENARRETA,210450,SHUSHUFINDI,2104,SHUSHUFINDI,21,SUCUMBIOS,1,DE,MINEDUC,,-0.18456525071,-76.6401568544
01D01,CUENCA 1,HUAYNA CAPAC Y CALLE LARGA 113 EDIFICIO BANCO CENRAL TERCER PISO,10150,CUENCA,101,CUENCA,1,AZUAY,6,DE,MINEDUC,SI,-2.90597848064,-78.9973010696
01D02,CUENCA 2,GUAYACAN Y AV ORDONEZ LASSO,10150,CUENCA,101,CUENCA,1,AZUAY,6,DP,SENECYT - ZONA DEPORTE,SI,-2.89005327848,-79.0266088231
01D03,SANTA ISABEL - GIRON - PUCARA - SAN FERNANDO,CALLE MANABI Y FIDEL ROSALES EDIFICIO COLEGIO MENSAJEROS DE LA PAZ,10850,SANTA ISABEL (CHAGUARURCO),108,SANTA ISABEL,1,AZUAY,6,DE,MINEDUC,,-3.27597028765,-79.3143607836
01D04,GUALACEO - CHORDELEG,PROLONGACION DE LA GRAN COLOMBIA Y MARIETA VAZQUEZ,10350,GUALACEO,103,GUALACEO,1,AZUAY,6,DE,MINEDUC,,-2.88621495161,-78.7784985416
01D05,NABON - ONA,PANAMERICA SUR SECTOR LA PAZ JUNTO A LA IGLESIA,10453,LAS NIEVES (CHAYA),104,NABON,1,AZUAY,6,DE,MINEDUC,,-3.32097820982,-79.1607944029
01D06,PAUTE - EL PAN - GUACHAPALA - SEVILLA DE ORO,CALLES NICOLAZ VASQUEZ N 4 01 INTERSECCION SIGLO XX Y HUAYNACAPAC,10550,PAUTE,105,PAUTE,1,AZUAY,6,DE,MINEDUC,,-2.78096841403,-78.7599197599
01D07,CAMILO PONCE ENRIQUEZ,ELOY BARROS ENTRE JUAN MALDONADO Y MANANTHIAL,11550,CAMILO PONCE ENRIQUEZ,115,CAMILO PONCE ENRIQUEZ,1,AZUAY,6,DE,MINEDUC,,-3.0636662894,-79.745440711
01D08,SIGSIG,AV KENNEDY,10950,SIGSIG,109,SIGSIG,1,AZUAY,6,DE,MINEDUC,,-3.04957414454,-78.7970268651
03D01,AZOGUES - BIBLIAN - DELEG,LUIS CORDERO Y BENIGNO SOLANO,30150,AZOGUES,301,AZOGUES,3,CAÑAR,6,DP,MINEDUC,SI,-2.73930074368,-78.8487938664
03D02,CANAR - EL TAMBO - SUSCAL,CALLE JAVIERA NIETO Y AV 24 DE MAYO,30350,CAÑAR,303,CAÑAR,3,CAÑAR,6,OT,MINEDUC,,-2.55554332133,-78.939195076
03D03,LA TRONCAL,CALLE 4 DE NOVIEMBRE Y LOJA,30450,LA TRONCAL,304,LA TRONCAL,3,CAÑAR,6,DE,MINEDUC,,-2.42280323053,-79.3342217713
14D01,MORONA,24 DE MAYO ENTRE MARISCAL SUCRE Y SIMON BOLIVAR,140150,MACAS,1401,MORONA,14,MORONA SANTIAGO,6,DP,MINEDUC,SI,-2.3038371806,-78.1176285066
